SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
AP8634,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1995-07-17,1520 N 19TH ST,LINCOLN,LANCASTER,HEATING OIL,8634,CLINTON ELEMENTARY SCHOOL
AP8635,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1998-01-12,6245 L ST,LINCOLN,LANCASTER,HEATING OIL,8635,EASTRIDGE ELEMENTARY
AP8636,5,LINCOLN PUBLIC SCHOOLS,5901 0 ST,LINCOLN,NE,68510,14,1998-01-08,225 S 25TH,LINCOLN,LANCASTER,HEATING OIL,8636,ELLIOTT ELEMENTARY SCHOOL
AP8637,5,LINCOLN PUBLIC SCHOOLS,5601 O ST,LINCOLN,NE,68510,14,1996-04-04,5700 NW 10TH ST,LINCOLN,LANCASTER,HEATING OIL,8637,FREDSTROM ELEMENTARY SCHO
AP8638,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1995-07-20,730 N 33RD,LINCOLN,LANCASTER,HEATING OIL,8638,HARTLEY SCHOOL
AP8639,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1995-07-20,300 S 48TH ST,LINCOLN,LANCASTER,HEATING OIL,8639,HAWTHORNE SCHOOL
AP8640,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1995-07-25,5230 TIPPERARY TRAIL,LINCOLN,LANCASTER,HEATING OIL,8640,HILL SCHOOL
AP8641,5,LINCOLN PUBLIC SCHOOLS,5901 O,LINCOLN,NE,68501,14,1994-07-26,5230 SUMNER,LINCOLN,LANCASTER,DIESEL,8641,HOLMES ELEMENTARY
AP8642,5,LINCOLN PUBLIC SCHOOLS,800 S 24TH ST,LINCOLN,NE,68510,14,1996-04-02,4601 ADAMS,LINCOLN,LANCASTER,HEATING OIL,8642,HUNTINGTON ELEMENTARY
AP8644,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1996-12-02,300 CAPITAL BEACH BLVD,LINCOLN,LANCASTER,DIESEL,8644,LAKESIDE ELEMENTARY
AP8645,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1997-06-16,820 SOUTH 15TH ST,LINCOLN,LANCASTER,DIESEL,8645,MC PHEE SCHOOL
AP8646,5,LINCOLN PUBLIC SCHOOLS,5601 O STREET,LINCOLN,NE,68510,14,1996-03-27,7200 VINE ST,LINCOLN,LANCASTER,HEATING OIL,8646,MEADOWLANE ELEMENTARY
AP8647,5,LINCOLN PUBLIC SCHOOLS,800 S 24TH ST,LINCOLN,NE,68510,14,1996-04-16,68TH & MONTERREY,LINCOLN,LANCASTER,HEATING OIL,8647,MORLEY ELEMENTARY
AP8648,5,LINCOLN PUBLIC SCHOOLS,5901 O STREET,LINCOLN,NE,68510,14,1996-04-01,4710 N 72ND ST,LINCOLN,LANCASTER,HEATING OIL,8648,NORWOOD PARK ELEM SCHOOL
AP8650,5,LINCOLN PUBLIC SCHOOLS,5601 O STREET,LINCOLN,NE,68510,14,1996-03-28,6402 JUDSON,LINCOLN,LANCASTER,HEATING OIL,8650,PERSHING ELEMENTARY SCHOO
AP8652,5,LINCOLN PUBLIC SCHOOLS,5900 O ST,LINCOLN,NE,68510,14,1996-12-16,721 COTTONWOOD BLVD,LINCOLN,LANCASTER,HEATING OIL,8652,PYRTLE ELEMENTARY
AP8653,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1996-12-12,5024 ORCHARD,LINCOLN,LANCASTER,HEATING OIL,8653,RILEY ELEMENTARY
AP8657,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1996-12-05,630 WEST DODGE AVE,LINCOLN,LANCASTER,HEATING OIL #2,8657,WEST LINCOLN ELEMENTARY
AP8663,5,DANA COLLEGE,PO BOX 1191,BLAIR,NE,68008,7,1995-10-18,2848 COLLEGE DR,BLAIR,WASHINGTON,GASOLINE,8663,DANA COLLEGE
AP8674,5,FALLS CITY PUBLIC SCHOOL,1415 MORTON ST,FALLS CITY,NE,68355,7,1994-06-06,1415 MORTON ST,FALLS CITY,RICHARDSON,DIESEL,8674,FALLS CITY PUBLIC SCHOOL
AP8689,5,NIOBRARA VALLEY HOSPITAL,PO BOX 118,LYNCH,NE,68746,14,1995-08-14,HWY 12 & 5TH ST,LYNCH,BOYD,HEATING OIL,8689,NIOBRARA VALLEY HOSPITAL
AP8705,5,FIRST BANK,390 N COTNER STE 100,LINCOLN,NE,68505,7,1997-09-19,100 N 56TH,LINCOLN,LANCASTER,DIESEL,8705,FIRSTIER BANK
AP8706,5,OFFUTT A F B,55 CES/CEV,OFFUTT A F B,NE,68113,7,,VARIOUS AT OFFUTT,OFFUTT AFB,SARPY,HEATING OIL,8706,OFFUTT - VARIOUS SITES
AP8721,5,VINE CONGREGATIONAL CHURC,800 TWIN RIDGE RD,LINCOLN,NE,68506,7,1995-06-08,800 TWIN RIDGE RD,LINCOLN,LANCASTER,DIESEL,8721,VINE CONGREGATIONAL CHURC
AP8723,5,NORWEST BANK,202 W 3RD,GRAND ISLAND,NE,68801,7,1999-11-18,202 W 3RD,GRAND ISLAND,HALL,DIESEL,8723,NORWEST BANK
AP8724,5,PLATTE GENERATING STATION,,,,,7,1988-12-01,S LOCUST & WILDWOOD DR,GRAND ISLAND,HALL,,8724,PLATTE GENERATING STATION
